Season,Team,Elo,Glicko,TrueSkill,Poisson_Att,Poisson_Def,Pos
203,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
304,Colchester,1463.0275155562285,1510.9718738439394,24.48510156628737,-0.010574714731630694,0.16495963780725328,92
304,Southend,1312.811779288439,1338.5695512075404,22.11811281194229,-0.19252803375295233,0.2490916286121166,92
304,Yeovil,1400.3680780480595,1402.2483679386328,23.975395479034535,0.04880967621232797,0.1889284390648018,92
405,Colchester,1459.7986564418038,1514.0403102703704,24.916508984722416,-0.006190188841274047,0.10412857973833843,92
405,Southend,1394.1799826125084,1424.2127038361402,23.25147542104043,-0.14187624505590754,0.18603799786796502,92
405,Yeovil,1421.5725922320594,1430.2545090534295,24.317558620693564,0.14025026679053407,0.2321029569169599,92
506,Colchester,1519.5401364551699,1583.7977147914771,26.121874121636967,-0.004317395243860923,0.017624329027367814,46
506,Southend,1505.4710438580719,1577.1497657858667,24.936472966717563,-0.045080490171735536,0.09191100577244919,45
506,Yeovil,1423.5396096694556,1466.7425543532554,23.694602450048567,0.09107443759866245,0.20839641693025449,59
607,Colchester,1568.6250902068555,1652.127069350192,26.800085691797936,0.09457328216133472,-0.008000901576981577,30
607,Southend,1466.0143389426687,1509.6709190052918,24.653597970119293,-0.03726306419470192,0.14979055256186488,43
607,Yeovil,1496.7564023840698,1559.158126882318,25.127944726331172,0.05848285018512208,0.09962591210440179,49
708,Colchester,1476.079375828901,1511.1583618748823,25.757178657266966,0.12926176594191469,0.10682119886159139,44
708,Southend,1510.9673276973933,1573.742338436885,25.199481660220453,0.03040972793302885,0.12144336405610927,50
708,Yeovil,1410.3317763246175,1414.851110902898,24.492128371491386,-0.03799541476532932,0.1099677829422404,63
809,Colchester,1461.8464307710392,1495.8348152094873,25.43841809480429,0.09411097506839358,0.0983924847388366,56
809,Southend,1505.1208074489161,1553.2694855281252,25.724194328450917,0.02518092712233744,0.12266937826299255,52
809,Yeovil,1404.3289782100057,1429.8612242192244,23.700132728639478,-0.1012616211062928,0.1389985163989451,62
910,Colchester,1469.954189657078,1488.0920539481874,25.66537816616169,0.09395863709112343,0.07372693126855258,52
910,Southend,1392.2886526308966,1385.57326866121,23.746914839468523,-0.007603143342818056,0.1783345101957941,67
910,Yeovil,1410.0760139011804,1448.5262438992777,23.703161504403862,-0.08579406753091608,0.1253451300429941,59
1011,Colchester,1443.714784607609,1462.225758976693,25.25051862232999,0.06334597393686628,0.10024653088819076,54
1011,Southend,1353.2614405792085,1341.07041129268,23.105626503885336,-0.021878181136860082,0.18048588577129304,81
1011,Yeovil,1443.740810393996,1504.2126040338298,23.8786161142328,-0.06832586733656962,0.14303894634342743,58
1112,Colchester,1444.0386344274095,1474.3689931555712,24.865364158128,0.05814801192001124,0.1317585964908527,54
1112,Southend,1406.1031306332877,1418.1425755364373,23.51384163871722,0.02493844807157291,0.14152605250599665,72
1112,Yeovil,1425.761710935471,1463.9398415045061,24.255988506382895,-0.044686057583514495,0.225154894134622,61
1213,Colchester,1407.9121848879577,1440.6422384386506,24.23574395973164,-0.0015830625862975653,0.16467755042851517,64
1213,Southend,1344.754132215225,1316.3129684696903,22.758313644631883,-0.00967799405081395,0.14929086837233602,79
1213,Yeovil,1492.9290598103962,1550.0483291871465,25.109859594012434,0.0245864698645204,0.1788947709440782,48
1314,Colchester,1404.9968075692304,1438.2200603560452,24.25795486938427,-0.019786299606591243,0.15380913774006125,61
1314,Southend,1391.222362547553,1420.481928857874,23.38009777441967,-0.04596789633530332,0.08357360116062731,73
1314,Yeovil,1465.11567627668,1533.5455352298738,24.707983931588423,0.0013042796585473607,0.18147124137442877,44
1415,Colchester,1407.7378526695156,1459.4790643925223,23.97701733255324,-0.013854862412801726,0.21775949187659308,63
1415,Southend,1440.581890135835,1480.1913861394576,23.926271161270268,-0.07613064074054036,0.03415528532594659,73
1415,Yeovil,1366.4929752272028,1375.324167544924,23.116353009131586,-0.09508907989720411,0.23013095491255003,68
1516,Colchester,1355.6296983324428,1379.8586561059496,22.62553842860986,-0.015260067815685422,0.3594185600395277,67
1516,Southend,1410.8850092684552,1420.2692268864098,23.866995242111468,-0.05836206829282672,0.08178768269022116,59
1516,Yeovil,1322.2512480745784,1332.4510182708866,22.095804591725763,-0.16801882125597725,0.23058763540669855,87
1617,Colchester,1370.452900541734,1386.1031062129857,23.233478894419147,-0.007226851479603032,0.3197629087816901,76
1617,Southend,1473.1317613276474,1528.2818260628123,24.49882014673113,0.012383024322026195,0.06017823833427192,51
1617,Yeovil,1285.1057356415474,1270.9271946412146,21.7389510313195,-0.19858269838484718,0.2575472127461035,88
1718,Colchester,1335.1544511762838,1321.2608059947868,22.88985661828865,-0.07120539637860732,0.27018026962978914,81
1718,Southend,1469.9639752108083,1524.7298821235443,24.488512308148614,0.014421063960794876,0.07982559631060013,54
1718,Yeovil,1262.9625582822596,1256.1019447760464,21.40951641259134,-0.18431900958951514,0.3197324921730121,87
1819,Colchester,1344.9313831658517,1346.635243548302,23.031786070452704,-0.06657740207720879,0.24495300068582643,76
1819,Southend,1395.0893497375644,1407.6315759246027,24.081456750960207,-0.0008072462898711186,0.13200336195954607,63
1819,Yeovil,1211.5784036349978,1184.1739583490407,20.08728538132577,-0.2561167249910098,0.3392672114813507,92
1920,Colchester,1371.5742288617237,1390.0872673558356,23.555768536390104,-0.05608150841687727,0.20364630100895326,73
1920,Southend,1308.7196244159184,1310.3802541535608,22.45814263391929,-0.024199217638167965,0.3062298795013991,67
1920,Yeovil,1211.5784036349978,1184.1739583490407,20.08728538132577,-0.2561167249910098,0.3392672114813507,92
2021,Colchester,1297.2242822563182,1275.379286693354,22.80445272070944,-0.14039865893821357,0.23178697721170416,88
2021,Southend,1273.725508719473,1273.7635378982416,21.75736530314754,-0.1766424096995646,0.28853007969221467,91
2021,Yeovil,1211.5784036349978,1184.1739583490407,20.08728538132577,-0.2561167249910098,0.3392672114813507,92
2122,Colchester,1299.8591905388469,1309.1172675366574,21.794736634799317,-0.17619984555235974,0.2468031822905261,83
2122,Southend,1273.725508719473,1273.7635378982416,21.75736530314754,-0.1766424096995646,0.28853007969221467,92
2122,Yeovil,1211.5784036349978,1184.1739583490407,20.08728538132577,-0.2561167249910098,0.3392672114813507,92
2223,Colchester,1277.761807463745,1277.5800769788248,20.872931469228142,-0.22539514212545472,0.21986757542464513,88
2223,Southend,1273.725508719473,1273.7635378982416,21.75736530314754,-0.1766424096995646,0.28853007969221467,92
2223,Yeovil,1211.5784036349978,1184.1739583490407,20.08728538132577,-0.2561167249910098,0.3392672114813507,92
2324,Colchester,1253.485233912084,1255.3516174976103,20.354951848795505,-0.2066513263549117,0.316734395267236,90
2324,Southend,1273.725508719473,1273.7635378982416,21.75736530314754,-0.1766424096995646,0.28853007969221467,92
2324,Yeovil,1211.5784036349978,1184.1739583490407,20.08728538132577,-0.2561167249910098,0.3392672114813507,92
2425,Colchester,1333.2105053980156,1359.0164586943297,21.683721553506082,-0.22222818343666467,0.24848304196900317,78
2425,Southend,1273.725508719473,1273.7635378982416,21.75736530314754,-0.1766424096995646,0.28853007969221467,92
2425,Yeovil,1211.5784036349978,1184.1739583490407,20.08728538132577,-0.2561167249910098,0.3392672114813507,92
2526,Colchester,1345.2267780543323,1365.2913032144445,21.85356142894785,-0.17409943257023774,0.2480163354446077,79
2526,Southend,1273.725508719473,1273.7635378982416,21.75736530314754,-0.1766424096995646,0.28853007969221467,92
2526,Yeovil,1211.5784036349978,1184.1739583490407,20.08728538132577,-0.2561167249910098,0.3392672114813507,92
